Year;Albania;Austria;Belarus;Belgium;BosniaandHerzegovina;Bulgaria;Croatia;CzechRepublic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Ireland;Italy;Latvia;Luxembourg;Malta;Montenegro;Netherlands;Norway;Poland;Portugal;Romania;Russia;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;Turkey;Ukraine;UnitedKingdom
2010;13;3578;23;2243;22;862;13;379;3075;16;538;2408;112909;1233;487;364;775;15;13;121;13;24649;2197;162;13;310;27;14;176;13;272;18712;6722;233;812;2075
2011;14;4149;26;2495;24;960;15;440;3464;17;615;2842;129810;1713;555;400;1000;16;16;130;14;26961;2451;193;14;359;37;16;201;15;322;20345;7576;475;925;2422
2012;20;6941;39;3819;35;1401;27;684;5343;24;985;4698;200946;3490;834;554;2063;29;28;203;18;36053;3615;326;21;574;99;25;308;26;529;27086;11702;22384;1463;4234
2013;29;11692;63;6051;65;1988;77;1063;8468;33;1630;7488;303147;5641;1227;768;4272;62;43;383;27;47979;5491;574;36;945;1891;68;455;46;1034;39092;18307;622414;2437;7768
2014;44;18200;121;9063;122;4278;157;1514;12511;48;2446;11295;416120;12265;1767;1000;7248;112;70;752;56;60231;7859;958;63;1877;6434;143;607;72;2048;58124;26468;2193957;3712;12969
2015;70;28816;291;14884;215;12311;286;2343;21830;72;3876;19962;619659;23641;3289;1413;12881;219;172;1568;112;82181;12792;1742;122;4140;14877;406;845;130;4952;104869;42335;6897302;5882;24056
2016;95;57443;539;24234;311;25992;424;3423;36242;99;6002;34269;941470;39443;14568;1897;19921;355;611;2762;167;115926;23305;2903;199;7386;24150;662;1106;213;10652;185582;64602;14938678;8364;40054
