Year;Country;Refugees_from_Syria;Deaths_in_Syria;Unemployment;Value
2010;Austria;976;0;4.82168;NA
2010;Belgium;229;0;8.293048;1,809
2010;BosniaandHerzegovina;3;0;10.16;NA
2010;Bulgaria;125;0;10.16;720
2010;Croatia;4;0;10.16;NA
2010;Cyprus;367;0;10.16;NA
2010;CzechRepublic;59;0;7.279707;486
2010;Denmark;1233;0;7.463035;901
2010;Finland;82;0;8.386981;156
2010;France;280;0;8.871792;NA
2010;Germany;13208;0;6.967637;31,583
2010;Greece;2233;0;12.71716;NA
2010;Hungary;47;0;11.17377;816
2010;Iceland;3;0;10.16;6
2010;Ireland;44;0;13.85273;221
2010;Italy;240;0;8.359172;2,962
2010;Luxembourg;15;0;4.351644;NA
2010;Malta;36;0;10.16;NA
2010;Netherlands;1319;0;4.450514;573
2010;Norway;378;0;10.16;416
2010;Poland;16;0;9.640347;NA
2010;Romania;34;0;10.16;NA
2010;Russia;8;0;10.16;NA
2010;Slovakia;22;0;14.38103;79
2010;Spain;47;0;19.8598;NA
2010;Sweden;1540;0;8.610753;3,422
2010;Switzerland;1553;0;10.16;1,114
2010;Turkey;74;0;10.16;NA
2010;Ukraine;138;0;10.16;NA
2010;UnitedKingdom;499;0;7.786648;NA
2011;Armenia;8;3917;10.16;NA
2011;Austria;1359;3917;4.566622;NA
2011;Azerbaijan;1;3917;10.16;NA
2011;Belgium;978;3917;7.139795;2,927
2011;BosniaandHerzegovina;3;3917;10.16;NA
2011;Bulgaria;168;3917;10.16;729
2011;Croatia;4;3917;10.16;NA
2011;Cyprus;482;3917;10.16;NA
2011;CzechRepublic;23;3917;6.711369;527
2011;Denmark;1290;3917;7.572792;1,298
2011;Finland;161;3917;7.774969;170
2011;France;351;3917;8.811044;NA
2011;Germany;14868;3917;5.827424;NA
2011;Greece;10;3917;17.87071;NA
2011;Hungary;42;3917;11.03269;818
2011;Iceland;1;3917;10.16;3
2011;Ireland;45;3917;14.62392;221
2011;Italy;262;3917;8.353756;2.99
2011;Kazakhstan;2;3917;10.16;NA
2011;Latvia;15;3917;16.21216;NA
2011;Malta;152;3917;10.16;NA
2011;Netherlands;1295;3917;4.976648;584
2011;Norway;507;3917;10.16;434
2011;Poland;20;3917;9.632815;NA
2011;Romania;47;3917;10.16;NA
2011;Russia;16;3917;10.16;NA
2011;Slovakia;23;3917;13.61758;86
2011;Slovenia;6;3917;8.169436;11
2011;Spain;32;3917;21.39048;NA
2011;Sweden;1691;3917;7.80387;4,083
2011;Switzerland;2140;3917;10.16;2,165
2011;Turkey;9494;3917;10.16;2,896
