Year;Germany;UnitedKingdom;France;Italy;Spain;Russia;Netherlands;Turkey;Switzerland;Sweden;Poland;Belgium;Austria;Norway;Denmark;Ireland;Finland;Portugal;Greece;CzechRepublic;Romania;Hungary;Slovakia;Ukraine;Luxembourg;Croatia;Bulgaria;Belarus;Slovenia;Lithuania;Serbia;Latvia;Estonia;Cyprus;Iceland;BosniaandHerzegovina;Albania;Macedonia;Malta;Moldova;Montenegro;SanMarino
2010;1245.13;7387.553;3057.613;927.027;5709.385;731.539;4757.695;0;3057.613;4983.313;1245.13;4788.022;1056.612;4983.313;4663.501;9796.962;1802.454;7143.642;731.539;1038.114;780.321;819.356;948.941;954.12;4735.781;867.416;731.539;1090.131;878.967;1721.658;780.321;1758.813;1782.925;0;0;878.967;1031.695;1031.695;3057.613;948.307;819.356;3057.613
2011;1341.391;8040.833;3270.802;990.487;6136.106;774.729;5201.505;0;3270.802;5438.438;1341.391;5234.539;1129.934;5438.438;5096.94;10634.947;1960.285;7632.074;774.729;1114.084;830.528;877.016;1016.463;1023.659;5175.529;928.315;774.729;1186.966;939.188;1865.495;830.528;1908.973;1937.461;0;0;939.188;1063.797;1063.797;3270.802;1016.641;877.016;3270.802
2012;1308.342;7615.949;3061.109;984.739;5749.319;788.605;4951.792;0;3061.109;5165.818;1308.342;4984.062;1111.564;5165.818;4843.541;10240.24;1898.873;7105.802;788.605;1101.591;841.218;881.967;1008.792;1020.542;4927.739;928.255;788.605;1196.249;938.451;1805.029;841.218;1847.857;1876.2;0;0;938.451;1038.268;1038.268;3061.109;1013.259;881.967;3061.109
2013;1361.918;8094.998;3165.424;1027.809;5972.73;821.918;5315.262;0;3165.424;5529.223;1361.918;5347.842;1161.233;5529.223;5193.345;10775.121;1990.101;7366.206;821.918;1153.122;876.435;921.955;1055.379;1076.018;5287.692;969.96;821.918;1255.59;979.804;1887.949;876.435;1934.375;1965.213;0;0;979.804;1064.224;1064.224;3165.424;1068.033;921.955;3165.424
2014;1348.544;8156.035;3160.428;1012.476;6007.317;806.108;5339.585;0;3160.428;5548.897;1348.544;5371.541;1149.58;5548.897;5208.091;11101.181;2001.343;7414.172;806.108;1142.886;861.945;905.811;1042.915;1069.839;5309.146;955.317;806.108;1200.499;962.97;1895.188;861.945;1943.42;1975.39;0;0;962.97;1044.131;1044.131;3160.428;1061.895;905.811;3160.428
2015;1208.235;7064.028;2726.487;910.73;5148.047;733.642;4671.486;0;2726.487;4860.8;1208.235;4699.891;1031.366;4860.8;4565.849;9913.373;1774.147;6347.762;733.642;1026.377;782.599;819.112;939.748;966.328;4642.468;861.88;733.642;1056.852;867.962;1683.128;782.599;1724.395;1751.443;0;0;867.962;928.962;928.962;2726.487;959.914;819.112;2726.487
2016;1230.726;7249.019;2780.341;931.65;5245.131;751.186;4808.239;0;2780.341;5000.29;1230.726;4844.405;1049.379;5000.29;4698.506;10009.978;1803.605;6487.487;751.186;1045.457;800.55;837.931;955.66;988.578;4784.229;881.722;751.186;1072.128;887.859;1704.227;800.55;1747.251;1775.428;0;0;887.859;945.78;945.78;2780.341;982.494;837.931;2780.341
