TIME;GEO;CITIZEN;AGE;SEX;UNIT;Value;Flag and Footnotes
2006;Croatia;Foreign country;Total;Males;Number;;
2006;Croatia;Foreign country;Total;Females;Number;;
2006;Croatia;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Croatia;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Croatia;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Croatia;Syria;Total;Total;Number;;
2006;Croatia;Syria;Total;Males;Number;;
2006;Croatia;Syria;Total;Females;Number;;
2006;Italy;Foreign country;Total;Total;Number;2,670,514;
2006;Italy;Foreign country;Total;Males;Number;1,350,588;
2006;Italy;Foreign country;Total;Females;Number;1,319,926;
2006;Italy;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Italy;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Italy;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Italy;Syria;Total;Total;Number;3.12;
2006;Italy;Syria;Total;Males;Number;2,002;
2006;Italy;Syria;Total;Females;Number;1,118;
2006;Cyprus;Foreign country;Total;Total;Number;110.2;e
2006;Cyprus;Foreign country;Total;Males;Number;;
2006;Cyprus;Foreign country;Total;Females;Number;;
2006;Cyprus;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Cyprus;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Cyprus;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Cyprus;Syria;Total;Total;Number;;
2006;Cyprus;Syria;Total;Males;Number;;
2006;Cyprus;Syria;Total;Females;Number;;
2006;Latvia;Foreign country;Total;Total;Number;456,758;e
2006;Latvia;Foreign country;Total;Males;Number;216.34;
2006;Latvia;Foreign country;Total;Females;Number;240,418;
2006;Latvia;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Latvia;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Latvia;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Latvia;Syria;Total;Total;Number;29;
2006;Latvia;Syria;Total;Males;Number;28;
2006;Latvia;Syria;Total;Females;Number;1;
2006;Lithuania;Foreign country;Total;Total;Number;32,685;
2006;Lithuania;Foreign country;Total;Males;Number;19,301;
2006;Lithuania;Foreign country;Total;Females;Number;13,384;
2006;Lithuania;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Lithuania;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Lithuania;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Lithuania;Syria;Total;Total;Number;;
2006;Lithuania;Syria;Total;Males;Number;;
2006;Lithuania;Syria;Total;Females;Number;;
2006;Luxembourg;Foreign country;Total;Total;Number;191.4;
2006;Luxembourg;Foreign country;Total;Males;Number;95.98;
2006;Luxembourg;Foreign country;Total;Females;Number;95.42;
