Year;Albania;Austria;Belarus;Belgium;BosniaandHerzegovina;Bulgaria;Croatia;CzechRepublic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Ireland;Italy;Latvia;Luxembourg;Malta;Montenegro;Netherlands;Norway;Poland;Portugal;Romania;Russia;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;Turkey;Ukraine;UnitedKingdom
2012;5;2896;12;1349;11;447;12;243;1928;7;373;1900;76417;1790;279;151;1072;13;11;73;4;9438;1205;132;7;214;62;8;107;10;204;7054;4309;25068;562;1867
2013;8;4564;21;1987;17;664;20;397;2732;11;588;3292;124998;2790;447;217;2063;20;17;98;6;13459;1771;239;11;361;144;14;172;17;346;9942;6448;84407;883;2966
2014;12;6619;33;2699;24;912;31;594;3573;15;851;5216;186542;4023;661;289;3628;28;23;120;8;17723;2377;398;17;560;294;22;255;27;537;12788;8918;245387;1189;4418
2015;18;10451;54;4035;38;1371;52;979;5178;23;1344;9009;304097;6265;1066;432;6813;43;36;165;12;25780;3476;714;28;941;614;36;410;45;914;18336;13836;717763;1753;7344
