Year;Albania;Austria;Belarus;Belgium;BosniaandHerzegovina;Bulgaria;Croatia;CzechRepublic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Ireland;Italy;Latvia;Luxembourg;Malta;Montenegro;Netherlands;Norway;Poland;Portugal;Romania;Russia;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;Turkey;Ukraine;UnitedKingdom
2012;3;2369;11;1293;31;97;52;124;2018;1;328;640;24151;20;86;53;952;32;1;330;7;1680;871;100;9;162;1544;49;24;10;352;9802;3083;317239;516;2106
2013;15;4309;60;2365;66;4604;59;174;3357;12;429;1817;31819;9860;325;86;1118;45;28;878;60;3404;1570;208;22;1023;3402;63;26;11;923;24792;4861;726467;758;3810
2014;8;2748;120;3353;25;11011;28;290;8721;6;493;4121;70585;4095;1157;187;1475;69;119;1081;36;11015;3396;274;30;1392;2340;244;40;28;2117;53296;8662;1558149;935;5901
2015;1;33563;145;8109;14;15502;23;407;13813;6;1270;7890;197186;9549;19083;160;1706;65;768;1488;1;28902;13249;481;30;1687;1697;11;47;39;4616;101993;13157;2503846;965;8144
